cluster_class,cluster_class_name,pred_run_date,Web_act1_time_bckt1,Web_act1_time_bckt2,Web_act1_time_bckt3,Web_act1_time_bckt4,Web_act1_time_bckt5,Web_act2_time_bckt1,Web_act2_time_bckt2,Web_act2_time_bckt3,Web_act2_time_bckt4,Web_act2_time_bckt5,Web_act3_time_bckt1,Web_act3_time_bckt2,Web_act3_time_bckt3,Web_act3_time_bckt4,Web_act3_time_bckt5,num_support_req_time_bckt1,num_support_req_time_bckt2,num_support_req_time_bckt3,num_support_req_time_bckt4,num_support_req_time_bckt5,num_pos_chat_time_bckt1,num_pos_chat_time_bckt2,num_pos_chat_time_bckt3,num_pos_chat_time_bckt4,num_pos_chat_time_bckt5,num_neg_chat_time_bckt1,num_neg_chat_time_bckt2,num_neg_chat_time_bckt3,num_neg_chat_time_bckt4,num_neg_chat_time_bckt5,num_pos_email_time_bckt1,num_pos_email_time_bckt2,num_pos_email_time_bckt3,num_pos_email_time_bckt4,num_pos_email_time_bckt5,num_neg_email_time_bckt1,num_neg_email_time_bckt2,num_neg_email_time_bckt3,num_neg_email_time_bckt4,num_neg_email_time_bckt5,num_pos_tweets_time_bckt1,num_pos_tweets_time_bckt2,num_pos_tweets_time_bckt3,num_pos_tweets_time_bckt4,num_pos_tweets_time_bckt5,num_neg_tweets_time_bckt1,num_neg_tweets_time_bckt2,num_neg_tweets_time_bckt3,num_neg_tweets_time_bckt4,num_neg_tweets_time_bckt5,Revenue,num_days_ss1,num_days_ss2,num_days_ss3,num_days_ss4,num_days_ss5,num_days_ss6,current_ss,days_in_curr_ss,opentasks_time_bckt1,opentasks_time_bckt2,opentasks_time_bckt3,opentasks_time_bckt4,opentasks_time_bckt5,num_closed_tsk_time_bckt1,num_closed_tsk_time_bckt2,num_closed_tsk_time_bckt3,num_closed_tsk_time_bckt4,num_closed_tsk_time_bckt5,num_sp_pos_com_time_bckt1,num_sp_pos_com_time_bckt2,num_sp_pos_com_time_bckt3,num_sp_pos_com_time_bckt4,num_sp_pos_com_time_bckt5,num_sp_neg_com_time_bckt1,num_sp_neg_com_time_bckt2,num_sp_neg_com_time_bckt3,num_sp_neg_com_time_bckt4,num_sp_neg_com_time_bckt5,OverAll_Sum_of_shipped_qty,OverAll_Sum_of_tot_net_amt,Number_of_periods_sold,Total_Periods_of_activity,% of time product sold,opportunity_value
-1,IDEAL,12/17/15,0.383308568,0.61811572,0.577042911,0.687868768,0.802570687,0.852033026,0.690245969,0.395181068,0.583199721,0.860720482,0.984252958,0.632353546,0.690457754,0.603111347,0.58313625,0.392836299,0.278327289,0.867140068,0.423199426,0.399510201,0.961620802,0.241628465,0.355395271,0.282275671,0.919592233,0.441345696,0.552190465,0.450047869,0.401500055,1.112562431,0.244307528,0.780659506,0.281638648,0.281270805,0.351918202,0.463008603,0.481623543,0.957030598,0.477503048,0.395377979,0.215642246,0.300825311,0.153937726,0.217664855,0.832264564,0.372253633,0.335346519,0.512550753,1.048089685,1.15333896,0.46934799,-0.857775789,-0.854285226,-0.453415109,-1.146921243,-0.764956113,-0.533809401,-2.932310553,-0.960114389,-0.451037004,-1.274691598,-0.431571779,-1.310702091,0.791764768,0.546212073,1.243111767,1.325872017,1.347175488,0.908699265,1.357291409,0.572442665,0.563605791,0.487282411,1.055666581,0.577157894,0.516373848,0.489428322,1.325897516,0.962417247,0.785768194,0.360057365,0.754205741,0.913535197,0.849728304,0.46934799
0,MOST LIKELY,12/17/15,0.337044299,0.940136416,0.773076026,-0.442688605,0.886339491,0.632232968,0.322609725,0.905411729,-0.448149796,0.861327262,-0.034972658,0.069964035,0.209019268,-0.1930653,-0.173015405,0.018611044,0.073985816,0.029575443,-0.008616177,0.132092435,-0.17319888,-0.004951504,0.026661434,0.196078107,-0.054962257,-0.183475241,0.172958755,-0.206828714,-0.002028622,-0.024275635,0.030988924,-0.064752788,-0.055861164,-0.076548591,0.042098812,0.029633957,-0.019535563,0.069694924,0.232940528,-0.14051604,0.055914803,-0.025486435,-0.06909177,-0.034169811,0.016561525,0.05111157,-0.09463395,0.077271654,-0.092376532,0.070764042,-0.003892573,-0.127619739,-0.295123323,-0.136190116,-0.050901259,-0.22356609,-0.11785525,-0.125321062,-0.141320203,-0.002665062,-0.059396388,0.252818008,0.067232399,0.033530753,0.104678225,-0.079456234,-0.128684208,-0.209532378,0.109250079,0.038150801,0.117851694,0.040614499,0.016227102,0.10239913,0.030242933,0.155812746,0.001841736,-0.080006098,0.158535429,0.006009778,-0.029506779,0.142878943,0.153810637,0.003525663,-0.003892573
1,SOMEWHAT LIKELY,12/17/15,0.743951213,0.242639284,-0.120892591,1.730417207,-0.677382519,0.603622042,1.099419406,0.023451164,1.699230233,-0.849695818,-0.070073066,-0.034482731,-0.245079608,0.095088318,-0.050892934,0.216252345,-0.046818347,-0.140925671,0.337178206,0.198945659,-0.206400736,-0.2560219,0.05637388,-0.005911124,0.065963823,-0.001338016,0.110514003,-0.12078018,-0.205599886,0.017189463,0.089973883,-0.031734067,0.039154549,-0.111660007,0.027928922,-0.136517596,-0.083856199,0.087010607,0.029254429,-0.092409109,0.060396026,0.015179498,-0.050609949,-0.160414777,-0.162942562,-0.0390212,-0.007415749,0.08968285,0.086493824,-0.060324076,-0.013363827,0.07153637,0.047210853,0.072994677,0.068938304,-0.003319762,-0.027284854,0.05358187,0.171356325,0.016826185,-0.056222247,-0.306226911,-0.099978123,0.045095915,0.062144088,0.044264215,0.087593379,-0.114800231,0.022671714,0.091826347,0.069223568,0.080549028,0.060003213,0.166540346,-0.044939485,0.083120565,-0.053053909,-0.045151739,0.184291911,0.089561357,0.028738662,-0.040613491,0.010432304,-0.164834646,-0.013363827
2,SWING,12/17/15,0.076983574,-0.011168274,0.800518172,-0.554454855,0.660266114,0.312525545,0.040710158,-0.118682469,-0.575099464,0.93942015,0.584715577,0.082238351,0.178004815,0.412749787,1.281154873,0.177174964,0.035720665,0.749926862,-0.53887227,-0.69350531,0.509148677,-0.463979043,-0.281723768,-0.020068281,-0.086757985,0.884672317,-0.303136534,-0.094328396,0.388636808,0.750835345,0.428849406,0.743093888,0.256209655,0.758870595,-0.390156869,0.40633015,-0.182231536,-0.168689968,0.174304289,0.808242741,0.561826284,0.080366932,0.118596669,0.324788717,-0.527809849,0.526916741,0.553873706,-0.162181479,-0.136969332,0.5145706,-0.143844424,-0.202057868,0.814183682,0.209164805,0.149791978,0.461740554,0.651339857,0.3398747,0.070853398,-0.013287276,-0.02439106,-0.020574933,-0.139882187,-0.309353462,-0.680633269,0.245217077,0.153369771,0.402061106,-0.595890352,-0.325799685,-0.691634688,-0.342530993,0.232835072,-0.829921328,-0.093584103,-0.376807558,0.005503668,0.43377515,-1.033494335,-0.034165373,-0.201993875,-0.169524289,-0.172276414,0.227241179,-0.143844424
3,SOMEWHAT UNLIKELY,12/17/15,-0.757573353,-0.92868125,-0.921259961,-0.421289183,-0.62755725,-1.037403603,-0.953635388,-0.731138821,-0.419606781,-0.608629144,-0.183400938,0.007311076,-0.090571521,-0.0000283,-0.099283044,-0.091684394,-0.064746043,-0.112071904,0.066021955,0.082785977,0.079484603,0.136655493,0.059144542,-0.102463134,-0.046204044,0.035936063,0.068857039,0.153467644,0.149640103,-0.090476413,-0.102788187,-0.091975039,0.041908621,0.003968945,0.095748038,-0.038023225,0.133897705,-0.084707958,-0.03332009,-0.104423273,-0.140449912,0.022095187,-0.126898261,0.002548228,0.096499149,-0.071352895,-0.108377987,-0.044663101,-0.025285448,-0.20214478,0.059249081,0.132616845,-0.106423753,-0.008249113,-0.050379553,0.005891409,-0.138562675,-0.052087602,-0.015504879,-0.003579061,0.080621467,-0.024883819,0.059936592,0.056635882,0.141260526,-0.04556556,-0.009935768,0.071883137,0.120810521,0.040721714,0.134539404,0.047053545,-0.132230389,0.140237794,0.037578087,-0.025830105,0.02238618,-0.074834098,0.159091014,-0.038539953,0.081071821,-0.02570995,-0.063402078,0.002124717,0.059249081
4,MOST UNLIKELY,12/17/15,0.91899717,0.983090154,2.019719278,-0.199602492,1.535868643,1.674289072,1.225299493,0.715674112,0.100588902,1.705272967,0.986154493,-0.781269647,0.150830434,-0.243103362,-1.232317521,-1.065433304,0.278621187,-0.555811715,-1.061405272,-1.133733325,0.241920288,1.627927772,-0.361412687,-0.460275747,0.921257455,-1.731930762,-2.088577632,1.151172755,-1.755917512,-1.343149105,-1.082313566,-0.614832597,-1.107316036,-1.191250353,-0.390156869,-0.309039832,-0.265286124,0.384432923,-2.504426113,0.395826083,-1.118564879,-0.400153984,2.070848182,0.217888268,1.527218478,-1.141762919,0.335712144,-0.201908931,1.050248399,0.419041893,-0.100261612,-0.197153551,0.911644084,0.165374144,0.11654165,0.432708481,0.706895316,0.273340039,0.132399782,0.003569716,0.023823826,0.030862399,-0.213277162,-0.228295989,-0.74440161,0.156418484,0.211346273,0.435948259,-0.573901778,-0.325799685,-0.792820486,-0.294801264,0.258338914,-0.879599717,-0.119410885,-0.376807558,0.038918795,0.450060877,-1.044120562,-0.056011637,-0.201821314,-0.163263995,-0.132384816,0.236648571,-0.100261612
